symbol,timeframe,strategy,sharpe,return_pct,max_dd,trades
XAUUSD,H4,Breakout_100,1.983,14.7,-2.99,0
XAUUSD,H4,MTF_H1H4,1.92,37.98,-9.78,0
XAUUSD,H1,SMA10x30,1.548,146.0,-19.08,0
XAUUSD,H4,MOM20,1.469,45.47,-17.46,0
XAUUSD,H4,SMA50x100,1.39,42.57,-10.17,0
XAUUSD,H1,MOM100,1.339,117.82,-24.21,0
XAUUSD,H4,Consecutive_3,1.193,16.81,-5.39,0
XAUUSD,H1,MOM20,1.144,94.43,-14.61,0
XAUUSD,H1,MTF_H1H4,1.082,48.81,-13.96,0
XAUUSD,H1,SMA20x50,1.0,78.89,-18.55,0
XAUUSD,H4,Breakout_50,0.982,8.88,-5.55,0
XAUUSD,H1,SMA20x100,0.931,71.89,-20.88,0
XAUUSD,H4,MOM10,0.862,24.61,-12.46,0
XAUUSD,H1,MOM50,0.785,57.91,-24.07,0
XAUUSD,H4,VolSqueeze_20,0.741,2.21,-1.71,0
XAUUSD,H1,SMA50x200,0.74,53.86,-27.17,0
XAUUSD,H4,SMA10x30,0.72,20.18,-17.86,0
XAUUSD,H4,Breakout_20,0.69,6.97,-8.21,0
XAUUSD,H1,MOM150,0.64,45.1,-33.78,0
XAUUSD,H1,RangeBreak_20,0.619,4.9,-2.75,0
XAUUSD,H4,MOM150,0.584,16.08,-19.29,0
XAUUSD,H1,MOM200,0.56,38.57,-29.91,0
XAUUSD,H1,MOM10,0.482,32.3,-27.67,0
XAUUSD,H1,SMA50x100,0.457,30.48,-29.13,0
XAUUSD,H1,VolSqueeze_20,0.416,3.95,-3.54,0
