variant,sharpe,total_return_pct,ann_return_pct,max_dd_pct,num_trades,win_rate_pct,profit_factor
Time stop 24 bars,0.98,82.53,20.22,-23.68,2353,,
Trailing stop 4x ATR,0.854,69.77,17.78,-23.22,2037,,
ATR stop 2.0x,0.84,68.2,17.47,-24.47,2058,,
Time stop 48 bars,0.837,68.04,17.44,-24.69,2063,,
Time stop 72 bars,0.833,67.68,17.37,-24.2,2011,,
ATR stop 1.5x,0.83,67.07,17.24,-23.1,2143,,
ATR stop 3.0x,0.829,67.24,17.28,-24.41,2010,,
Base (hold until flip),0.825,66.85,17.2,-24.2,2006,,
Trailing stop 3x ATR,0.79,62.39,16.29,-24.66,2253,,
Trailing stop 2x ATR,0.672,50.39,13.71,-26.88,2889,,
