window,test_start,test_end,total_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct
0,4000,4999,-1.88,-1.312,-5.99,21,33.33
1,5000,5999,0.61,0.341,-5.01,20,45.0
2,6000,6999,1.22,0.849,-3.75,23,39.13
3,7000,7999,-1.86,-1.669,-3.31,19,31.58
4,8000,8999,-1.54,-1.531,-4.25,21,33.33
5,9000,9999,1.33,1.547,-2.6,20,50.0
6,10000,10999,2.38,2.565,-2.25,15,46.67
7,11000,11999,1.18,1.229,-1.82,18,50.0
8,12000,12999,4.95,5.12,-1.51,16,50.0
9,13000,13999,-3.59,-4.65,-3.94,28,39.29
10,14000,14999,0.42,0.559,-2.33,23,26.09
11,15000,15999,-1.41,-2.045,-3.04,17,47.06
12,16000,16999,-2.53,-3.786,-3.6,22,31.82
13,17000,17999,-2.26,-3.016,-4.04,20,45.0
14,18000,18999,-1.75,-1.49,-4.19,21,42.86
15,19000,19999,4.51,3.769,-1.41,17,58.82
16,20000,20999,4.02,2.827,-2.36,21,52.38
17,21000,21999,-4.11,-3.565,-4.43,25,32.0
18,22000,22999,0.78,0.744,-2.28,23,30.43
19,23000,23999,-1.34,-1.558,-2.81,18,27.78
20,24000,24999,1.97,3.005,-1.08,18,61.11
21,25000,25999,3.7,4.74,-1.18,13,61.54
22,26000,26999,-4.96,-5.244,-5.9,22,18.18
