name,sharpe,ann_return,max_dd,trades,win_rate,profit_factor,avg_trade,strategy,costs
MOM20_tight_ecn,2.071,74.66,-14.8,2574,42.15,1.16,0.028,MOM20,tight_ecn
MOM20_typical,2.0,72.08,-15.48,2574,42.15,1.16,0.028,MOM20,typical
MOM20_wide_retail,1.914,68.98,-16.28,2574,42.15,1.16,0.028,MOM20,wide_retail
MOM10_tight_ecn,1.721,61.97,-24.93,3827,41.99,1.16,0.0236,MOM10,tight_ecn
MOM10_typical,1.614,58.12,-25.82,3827,41.99,1.16,0.0236,MOM10,typical
MOM10_wide_retail,1.486,53.5,-26.87,3827,41.99,1.16,0.0236,MOM10,wide_retail
MOM10+40_tight_ecn,1.986,58.38,-17.01,2725,43.05,1.16,0.023,MOM10+40,tight_ecn
MOM10+40_typical,1.81,53.21,-17.65,2725,43.05,1.16,0.023,MOM10+40,typical
MOM10+40_wide_retail,1.599,47.0,-18.42,2725,43.05,1.16,0.023,MOM10+40,wide_retail
SessionOpen_13UTC_tight_ecn,-1.003,-13.22,-20.85,1138,50.88,1.06,0.0105,SessionOpen_13UTC,tight_ecn
SessionOpen_13UTC_typical,-1.176,-15.5,-22.54,1138,50.88,1.06,0.0105,SessionOpen_13UTC,typical
SessionOpen_13UTC_wide_retail,-1.383,-18.23,-24.53,1138,50.88,1.06,0.0105,SessionOpen_13UTC,wide_retail
