friday,monday,fri_close,mon_open,gap,gap_pct,gap_direction,fills_in_4h,fills_in_24h,never_fills,mon_persistence_pct,continued,h1_mom_4bar_pct,h1_mom_sign,gap_sign
2021-12-10,2021-12-13,1782.71,1782.95,0.2400000000000091,0.013462649561622983,up,True,True,False,0.20752124288398693,True,0.15984744384305305,1.0,1.0
2021-12-17,2021-12-20,1797.84,1799.43,1.5900000000001455,0.08843946068616482,up,False,True,False,-0.49571253119043657,False,0.14060007891387727,1.0,1.0
2021-12-31,2022-01-03,1828.89,1828.98,0.08999999999991815,0.004921017666448947,up,True,True,False,-1.5336417019322222,False,-0.1552778051154169,-1.0,1.0
2022-01-07,2022-01-10,1796.7,1794.88,-1.8199999999999363,-0.10129682195135171,down,True,True,False,0.37885541094669023,False,-0.027299875200570423,-1.0,-1.0
2022-01-14,2022-01-17,1817.73,1819.35,1.6199999999998909,0.0891221468534871,up,True,True,False,-0.037375985929031595,False,-0.06595762222770807,-1.0,1.0
2022-01-21,2022-01-24,1834.38,1833.22,-1.1600000000000819,-0.06323662490869296,down,True,True,False,0.536760454282624,False,0.18437503409300948,1.0,-1.0
2022-01-28,2022-01-31,1791.67,1791.2,-0.4700000000000273,-0.026232509334867878,down,False,True,False,0.333296114336759,False,-0.14906208128628862,-1.0,-1.0
2022-02-04,2022-02-07,1808.15,1807.15,-1.0,-0.05530514614384868,down,True,True,False,0.735965470492209,False,0.13280579918655278,1.0,-1.0
2022-02-11,2022-02-14,1858.31,1861.96,3.650000000000091,0.19641502225140536,up,True,True,False,0.5386796708844429,True,-0.38561515822037595,-1.0,1.0
2022-02-18,2022-02-21,1897.31,1898.18,0.8700000000001182,0.04585439385235509,up,True,True,False,0.3050290278055803,True,-0.042672454667114224,-1.0,1.0
2022-02-25,2022-02-28,1888.86,1919.34,30.480000000000018,1.6136717385089432,up,False,False,True,-0.5210124313566122,False,-0.5173653443371062,-1.0,1.0
2022-03-04,2022-03-07,1962.07,1978.72,16.65000000000009,0.8485935771914402,up,False,True,False,0.9506145386916767,True,0.41542006953989574,1.0,1.0
2022-03-11,2022-03-14,1988.35,1984.57,-3.7799999999999727,-0.19010737546206516,down,True,True,False,-1.7243029976266915,True,-0.5240429916808065,-1.0,-1.0
2022-03-18,2022-03-21,1920.33,1921.66,1.3300000000001546,0.06925892945484134,up,True,True,False,0.7176087341152942,True,0.3346065380972707,1.0,1.0
2022-03-25,2022-03-28,1958.04,1955.62,-2.4200000000000728,-0.1235929807358416,down,True,True,False,-1.6971599799551973,True,-0.49140426054140596,-1.0,-1.0
2022-04-01,2022-04-04,1924.31,1924.38,0.07000000000016371,0.0036376675275898228,up,True,True,False,0.42715056277865077,True,-0.09041873226701691,-1.0,1.0
2022-04-08,2022-04-11,1947.51,1946.15,-1.3599999999999,-0.0698327608073848,down,True,True,False,0.41620635613903906,False,-0.09351797137939766,-1.0,-1.0
2022-04-22,2022-04-25,1931.11,1930.51,-0.599999999999909,-0.031070213504145756,down,True,True,False,-1.6876369456775633,True,-0.2626249022279037,-1.0,-1.0
2022-04-29,2022-05-02,1896.59,1897.0,0.41000000000008185,0.021617745532776293,up,True,True,False,-1.807063784923562,False,-0.3616236162361619,-1.0,1.0
2022-05-06,2022-05-09,1883.48,1882.85,-0.6300000000001091,-0.0334487225773626,down,True,True,False,-1.5455293836471258,True,-0.2379371697161181,-1.0,-1.0
2022-05-13,2022-05-16,1811.3,1809.82,-1.4800000000000182,-0.08170926958538167,down,True,True,False,0.8249439170746298,False,0.2596943342431768,1.0,-1.0
2022-05-20,2022-05-23,1846.4,1846.04,-0.36000000000012733,-0.019497400346627346,down,True,True,False,0.4073584537713149,False,0.15492622045025772,1.0,-1.0
2022-05-27,2022-05-30,1853.05,1852.4,-0.6499999999998636,-0.0350773049836682,down,True,True,False,0.1678903044698715,False,0.23105160872380903,1.0,-1.0
2022-06-03,2022-06-06,1850.89,1850.45,-0.44000000000005457,-0.023772347357220287,down,True,True,False,-0.45934772622875514,True,0.14374881785510496,1.0,-1.0
2022-06-10,2022-06-13,1871.37,1874.28,2.910000000000082,0.15550105003286802,up,True,True,False,-2.9333930896130793,False,-0.6178372495038054,-1.0,1.0
2022-06-17,2022-06-20,1840.1,1838.2,-1.8999999999998636,-0.10325525786641289,down,True,True,False,0.007072135785000639,False,-0.07779349363508103,-1.0,-1.0
2022-06-24,2022-06-27,1826.92,1838.23,11.309999999999945,0.6190747268626948,up,False,True,False,-0.847554440956786,False,-0.19420855932065217,-1.0,1.0
2022-07-01,2022-07-04,1809.23,1811.95,2.7200000000000273,0.15034019997457632,up,True,True,False,-0.2356577168244147,False,-0.21744529374431165,-1.0,1.0
2022-07-08,2022-07-11,1742.37,1742.78,0.41000000000008185,0.023531167318082948,up,True,True,False,-0.5181376880616012,False,-0.15607248189674072,-1.0,1.0
2022-07-15,2022-07-18,1707.35,1707.41,0.060000000000172804,0.003514217940092705,up,True,True,False,0.10366578619077911,True,0.4047065438295361,1.0,1.0
2022-07-22,2022-07-25,1727.41,1727.18,-0.2300000000000182,-0.013314731302934346,down,False,True,False,-0.4319179240148702,True,-0.15632418161396489,-1.0,-1.0
2022-07-29,2022-08-01,1766.18,1765.07,-1.1100000000001273,-0.06284750138718179,down,True,True,False,0.3880865914666351,False,-0.08951486343317105,-1.0,-1.0
2022-08-05,2022-08-08,1775.69,1773.71,-1.9800000000000182,-0.11150594979979715,down,False,True,False,0.8800762244109747,False,0.06878238268939185,1.0,-1.0
2022-08-12,2022-08-15,1801.99,1801.75,-0.2400000000000091,-0.013318608871303896,down,True,True,False,-1.2399056472873549,True,-0.24309698903843824,-1.0,-1.0
2022-08-19,2022-08-22,1747.35,1746.52,-0.8299999999999272,-0.04750050075828696,down,True,True,False,-0.6137919978013437,True,-0.025765522295773113,-1.0,-1.0
2022-08-26,2022-08-29,1737.99,1736.47,-1.5199999999999818,-0.08745735015736465,down,True,True,False,0.054132809665589074,False,-0.7307929304854133,-1.0,-1.0
